Neighborhood,Street Address,City,State,Zipcode,Latitude,Longitude,Property Type,Lot Size (Sq.Ft.),Finished Size (Sq.Ft.),Rent Amount,Rent-to-Finished Size Ratio,Year Built,Bathroom,Bedrooms,Total Rooms,ZPID
Squirrel Hill North,1522 S Negley Ave,Pittsburgh,PA,15217,40.440574,-79.925758,Condominium,1250,2127,2676,1.26,1985,3.5,3,6,11630731
Squirrel Hill North,118 N Woodland Rd,Pittsburgh,PA,15232,40.451572,-79.924043,Condominium,1480,1560,2598,1.67,1987,2.5,2,5,11629018
Squirrel Hill North,203 N Woodland Rd,Pittsburgh,PA,15232,40.451202,-79.92411,SingleFamily,1833,2228,2797,1.26,1991,3,2,6,11629014
Squirrel Hill South,18 Rosemont Ln,Pittsburgh,PA,15217,40.421781,-79.915952,SingleFamily,9615,2974,3308,1.11,1994,3.5,3,9,11290004
Bloomfield,41 Hemingway St,Pittsburgh,PA,15213,40.456745,-79.950363,Condominium,1568,1748,2216,1.27,1995,1.5,3,5,11403310
Southside Flats,28 S 17th St,Pittsburgh,PA,15203,40.431475,-79.981966,Townhouse,821,1720,2374,1.38,1999,2.5,2,6,11290476
Herrs Island,6 Waterside Pl,Pittsburgh,PA,15222,40.461989,-79.978746,Condominium,2875,2410,3255,1.35,1999,4,4,9,11400336
Lincoln Place,1219 Stock St,Pittsburgh,PA,15207,40.36608,-79.915112,SingleFamily,4500,1352,890,0.66,2001,2,3,6,11352138
Southside Flats,2250 Mary St APT 103,Pittsburgh,PA,15203,40.425581,-79.974543,Condominium,1135,1600,2124,1.33,2001,2,1,7,58729872
Squirrel Hill South,1104 Crescent Pl,Pittsburgh,PA,15217,40.423259,-79.912542,SingleFamily,3484,2276,2787,1.22,2002,2.5,3,5,58629164
Squirrel Hill South,1336 Fairstead Ln,Pittsburgh,PA,15217,40.420497,-79.915708,SingleFamily,3279,1964,2696,1.37,2004,2.5,3,7,72261385
Mount Washington,447 Grace St,Pittsburgh,PA,15211,40.428768,-80.013848,SingleFamily,3005,1488,1678,1.13,2005,2.5,3,5,87992859
Duquesne Heights,5 Meta St,Pittsburgh,PA,15211,40.431001,-80.021927,SingleFamily,11646,1920,1445,0.75,2005,3.5,3,7,11554624
Shadyside,5570 Centre Ave APT 101,Pittsburgh,PA,15232,40.455936,-79.934722,Condominium,1308,1308,2265,1.73,2006,2,2,4,87802108
Duquesne Heights,224 Hallock St,Pittsburgh,PA,15211,40.434176,-80.018515,Townhouse,2670,1536,1743,1.13,2007,2.5,3,6,87988964
Squirrel Hill South,1554 Overton Ln,Pittsburgh,PA,15217,40.418699,-79.917721,SingleFamily,3729,1742,2505,1.44,2008,2.5,3,7,87802121
Central Business District,301 5th Ave APT 509,Pittsburgh,PA,15222,40.44091,-79.999633,Condominium,1054,1054,1923,1.82,2008,1,1,3,92380541
Central Business District,301 5th Ave APT 520,Pittsburgh,PA,15222,40.44091,-79.999633,Condominium,1284,1284,2545,1.98,2009,2,2,4,92380469
Bloomfield,115 Gross St,Pittsburgh,PA,15224,40.464817,-79.944038,Townhouse,930,1515,1769,1.17,2009,1.5,1,6,104363430
Squirrel Hill South,1695 Biltmore Ln,Pittsburgh,PA,15217,40.418755,-79.920481,SingleFamily,5298,3392,3230,0.95,2013,3.5,5,7,121886682
