Neighborhood,Street Address,City,State,Zipcode,Latitude,Longitude,Property Type,Lot Size (Sq.Ft.),Finished Size (Sq.Ft.),Rent Amount,Rent-to-Finished Size Ratio,Year Built,Bathroom,Bedrooms,Total Rooms,ZPID
Squirrel Hill North,5435 Dunmoyle Ave,Pittsburgh,PA,15217,40.447345,-79.932124,SingleFamily,26694,5088,3463,0.68,1905,7.5,5,12,11629347
Squirrel Hill North,5731 Northumberland St,Pittsburgh,PA,15217,40.441579,-79.924301,SingleFamily,4899,2919,3049,1.04,1907,3.5,5,8,11630824
Point Breeze,6731 Reynolds St,Pittsburgh,PA,15206,40.450723,-79.914273,SingleFamily,2616,1620,2201,1.36,1908,2.5,3,6,11287065
Point Breeze,428 Hastings St,Pittsburgh,PA,15206,40.449547,-79.914849,SingleFamily,2700,1743,2063,1.18,1910,1.5,5,5,11287542
Arlington,119 Fitler St,Pittsburgh,PA,15210,40.417038,-79.970231,SingleFamily,4000,1606,903,0.56,1910,1,3,6,11308677
Beltzhoover,328 Sylvania Ave,Pittsburgh,PA,15210,40.417179,-80.001238,SingleFamily,2562,1855,877,0.47,1910,1,2,8,11324557
Elliott,801 Wymore St,Pittsburgh,PA,15220,40.440616,-80.042503,MultiFamily2To4,4704,2294,951,0.41,1910,,0,8,11362144
Mount Washington,116 Bigham St,Pittsburgh,PA,15211,40.435448,-80.015025,MultiFamily2To4,2880,2103,1105,0.53,1910,,0,12,11363467
Elliott,306 Marlow St,Pittsburgh,PA,15220,40.444145,-80.037856,Townhouse,2178,1454,926,0.64,1910,1,3,6,11367080
Sheraden,2911 Stafford St,Pittsburgh,PA,15204,40.456153,-80.05025,SingleFamily,2500,1650,925,0.56,1910,1,3,6,11483265
Sheraden,1207 Adon St,Pittsburgh,PA,15204,40.452861,-80.061794,MultiFamily2To4,2650,2000,804,0.4,1910,,0,10,11483507
Spring Garden,1910 Spring Garden Ave,Pittsburgh,PA,15212,40.46898,-79.985778,SingleFamily,3223,1760,930,0.53,1910,1,3,4,11511235
Central Lawrenceville,322 Main St,Pittsburgh,PA,15201,40.466892,-79.95735,SingleFamily,3452,3024,1342,0.44,1910,2.5,4,9,11514143
Mount Washington,4 Lowen St,Pittsburgh,PA,15211,40.429635,-80.01244,SingleFamily,2236,844,1159,1.37,1910,1.5,2,4,11515591
Shadyside,724 Filbert St,Pittsburgh,PA,15232,40.451899,-79.933525,SingleFamily,2650,1600,2651,1.66,1910,3.5,4,5,11528772
Brighton Heights,3515 Fleming Ave,Pittsburgh,PA,15212,40.478868,-80.03913,MultiFamily2To4,3000,1890,857,0.45,1910,2,2,7,11603886
Highland Park,912 N Highland Ave,Pittsburgh,PA,15206,40.47134,-79.919894,SingleFamily,5740,2813,2510,0.89,1910,3,6,8,11622551
East Liberty,618 Mellon St,Pittsburgh,PA,15206,40.469034,-79.925865,SingleFamily,3240,2210,909,0.41,1910,3,5,10,11622821
Shadyside,316 Lehigh Ave,Pittsburgh,PA,15232,40.45666,-79.926665,SingleFamily,4438,2592,2828,1.09,1910,3.5,4,8,11624880
Shadyside,618 S Negley Ave,Pittsburgh,PA,15232,40.453979,-79.932801,SingleFamily,1667,2018,2698,1.34,1910,2,2,5,11625259
Shadyside,375 Lehigh Ave,Pittsburgh,PA,15232,40.455004,-79.926158,MultiFamily2To4,3000,2004,2189,1.09,1910,2,2,12,11625531
Squirrel Hill South,5906 Douglas St,Pittsburgh,PA,15217,40.433077,-79.919559,SingleFamily,4350,2407,2244,0.93,1910,4,5,9,11635025
Point Breeze North,7034 Thomas Blvd,Pittsburgh,PA,15208,40.451774,-79.903416,SingleFamily,8371,3921,1931,0.49,1911,5,7,10,11287313
Beltzhoover,87 Sylvania Ave,Pittsburgh,PA,15210,40.41738,-80.006389,SingleFamily,3000,1408,849,0.6,1911,1,2,6,11324507
Shadyside,620 S Negley Ave,Pittsburgh,PA,15232,40.454071,-79.932531,SingleFamily,6997,4585,2850,0.62,1911,3.5,4,12,11625326
Central Lawrenceville,4823 Blackberry Way,Pittsburgh,PA,15201,40.476674,-79.958214,SingleFamily,651,832,1284,1.54,1911,1,2,6,121887159
Central Northside,1306 Monterey St,Pittsburgh,PA,15212,40.456574,-80.013206,SingleFamily,950,1476,1544,1.05,1912,2,3,5,11388240
Squirrel Hill North,5821 Ferree St,Pittsburgh,PA,15217,40.440994,-79.922326,SingleFamily,4900,2657,2913,1.1,1912,2.5,5,8,11630755
Fine View,647 Rising Main Ave,Pittsburgh,PA,15212,40.46433,-80.001017,SingleFamily,2400,1796,989,0.55,1913,2,3,5,11506252
Shadyside,5613 Howe St,Pittsburgh,PA,15232,40.45122,-79.931299,SingleFamily,4869,3054,3252,1.06,1913,3.5,4,10,11628585
Squirrel Hill North,1415 Squirrel Hill Ave,Pittsburgh,PA,15217,40.440936,-79.932757,SingleFamily,100,4210,3316,0.79,1913,3.5,6,11,11630523
Carrick,640 Laughlin Ave,Pittsburgh,PA,15210,40.404466,-79.978397,SingleFamily,8025,1200,847,0.71,1914,1,3,5,11435392
Sheraden,2793 Zephyr Ave,Pittsburgh,PA,15204,40.454534,-80.052089,SingleFamily,5000,1782,924,0.52,1914,2,4,7,11483684
Mount Washington,314 Virginia Ave,Pittsburgh,PA,15211,40.431486,-80.011324,SingleFamily,3244,960,1079,1.12,1915,1,2,6,11515369
Point Breeze,121 S Lexington Ave,Pittsburgh,PA,15208,40.447842,-79.899453,SingleFamily,11565,2906,3296,1.13,1915,3.5,5,10,11287805
Point Breeze,525 S Lang Ave,Pittsburgh,PA,15208,40.44546,-79.906115,SingleFamily,2500,1820,2148,1.18,1915,1.5,4,6,11288436
East Liberty,5652 Stanton Ave,Pittsburgh,PA,15206,40.470523,-79.924407,MultiFamily2To4,13446,6000,1751,0.29,1915,6,9,19,11622484
Greenfield,3611 Beechwood Blvd,Pittsburgh,PA,15217,40.425641,-79.927079,MultiFamily2To4,3294,1891,996,0.53,1915,,0,10,11636459
Morningside,6933 Standish St,Pittsburgh,PA,15206,40.485963,-79.923371,SingleFamily,2900,1500,1303,0.87,1916,2,4,8,11278543
Carrick,1635 Leolyn St,Pittsburgh,PA,15210,40.399085,-79.985988,SingleFamily,2546,2000,863,0.43,1916,2.5,3,6,11556930
Squirrel Hill South,5847 Nicholson St,Pittsburgh,PA,15217,40.431766,-79.921158,MultiFamily2To4,3504,2699,1492,0.55,1916,3,4,13,11634908
Brookline,358 Lamarido St,Pittsburgh,PA,15226,40.400107,-80.015978,SingleFamily,3000,1336,1201,0.9,1917,1,3,6,11562057
Squirrel Hill South,2415 Beechwood Blvd,Pittsburgh,PA,15217,40.43206,-79.914769,SingleFamily,8250,2125,2332,1.1,1918,1.5,3,6,11289690
Arlington,2830 Spring St,Pittsburgh,PA,15210,40.41537,-79.967994,SingleFamily,5760,1731,946,0.55,1918,,3,6,11309180
Mount Washington,443 Winton St,Pittsburgh,PA,15211,40.423277,-79.998843,SingleFamily,3750,2019,1170,0.58,1918,2,3,6,11314743
Brookline,535 Fordham Ave,Pittsburgh,PA,15226,40.393451,-80.025286,SingleFamily,5311,2109,1430,0.68,1918,2,4,6,11652712
Sheraden,2749 Merwyn Ave,Pittsburgh,PA,15204,40.454689,-80.049914,SingleFamily,7405,1960,878,0.45,1919,1,4,4,11483775
Morningside,822 Jancey St,Pittsburgh,PA,15206,40.474361,-79.931091,SingleFamily,4004,1643,1158,0.7,1919,1,3,6,11620606
Squirrel Hill South,6621 Darlington Rd,Pittsburgh,PA,15217,40.435904,-79.912567,SingleFamily,5251,2352,2665,1.13,1920,3,5,9,11289423
Swisshelm Park,110 Homestead St,Pittsburgh,PA,15218,40.41927,-79.900443,SingleFamily,3840,1239,1346,1.09,1920,2,2,5,11290342
Crafton Heights,964 Ringgold St,Pittsburgh,PA,15220,40.444173,-80.048529,SingleFamily,6860,1504,1045,0.69,1920,1,3,6,11366844
Perry South,1788 Perrysville Ave,Pittsburgh,PA,15212,40.460419,-80.012653,SingleFamily,3232,1154,921,0.8,1920,1.5,2,5,11387300
Troy Hill,1115 Troy Hill Rd,Pittsburgh,PA,15212,40.456826,-79.990706,SingleFamily,2178,1040,1103,1.06,1920,1.5,3,5,11395482
Upper Hill,3400 Webster Ave,Pittsburgh,PA,15219,40.454852,-79.961604,SingleFamily,8254,2628,1081,0.41,1920,3,5,8,11403552
Bon Air,206 Camfield St,Pittsburgh,PA,15210,40.409127,-79.998624,SingleFamily,4800,910,861,0.95,1920,1,2,5,11436183
Beechview,1509 Beechview Ave,Pittsburgh,PA,15216,40.412564,-80.024569,SingleFamily,3450,2360,1044,0.44,1920,2,5,9,11444763
Beechview,1697 Suburban Ave,Pittsburgh,PA,15216,40.409787,-80.020015,MultiFamily2To4,5240,2328,864,0.37,1920,,0,14,11445566
Crafton Heights,1273 Clairhaven St,Pittsburgh,PA,15205,40.438532,-80.054635,SingleFamily,4100,1776,1022,0.58,1920,1,3,6,11475972
Marshall - Shadeland,2921 Breker St,Pittsburgh,PA,15212,40.471365,-80.029767,SingleFamily,3900,1360,855,0.63,1920,1,2,6,11498290
Lower Lawrenceville,3827 Liberty Ave,Pittsburgh,PA,15201,40.462599,-79.959821,SingleFamily,1088,1620,1090,0.67,1920,2,4,7,11514734
Shadyside,5504 Howe St,Pittsburgh,PA,15232,40.450166,-79.933022,SingleFamily,2424,3441,3107,0.9,1920,3,4,8,11529355
Squirrel Hill North,1320 Bennington Ave,Pittsburgh,PA,15217,40.442412,-79.932916,SingleFamily,14000,5452,3687,0.68,1920,5,7,11,11533891
Hazelwood,5235 Gertrude St,Pittsburgh,PA,15207,40.405279,-79.941334,SingleFamily,3450,2405,895,0.37,1920,1,5,6,11550895
Highland Park,5559 Hampton St,Pittsburgh,PA,15206,40.476168,-79.925778,SingleFamily,7950,4114,2714,0.66,1920,3.5,6,8,11620271
Highland Park,921 N Saint Clair St,Pittsburgh,PA,15206,40.472675,-79.923133,MultiFamily2To4,3880,2464,930,0.38,1920,3,6,12,11620971
Squirrel Hill South,6327 Crombie St,Pittsburgh,PA,15217,40.4312,-79.916806,MultiFamily2To4,2500,2003,1428,0.71,1920,,0,9,11635060
Brookline,1403 Brookline Blvd,Pittsburgh,PA,15226,40.392566,-80.009166,SingleFamily,3150,1392,974,0.7,1920,2,2,6,11649099
Brookline,936 Fordham Ave,Pittsburgh,PA,15226,40.389729,-80.021292,SingleFamily,3600,1623,1218,0.75,1920,2,3,6,11653283
Beechview,1605 Fallowfield Ave,Pittsburgh,PA,15216,40.410336,-80.02345,SingleFamily,3000,1065,874,0.82,1921,1,2,5,11445526
Hazelwood,545 Frayne St,Pittsburgh,PA,15207,40.416862,-79.936862,SingleFamily,2883,1024,852,0.83,1921,1.5,2,4,11545510
Brighton Heights,1501 Davis Ave,Pittsburgh,PA,15212,40.480556,-80.037841,SingleFamily,7400,2000,1147,0.57,1921,3,5,7,11603683
Knoxville,321 Mckinley St,Pittsburgh,PA,15210,40.409892,-79.994207,SingleFamily,2945,1596,867,0.54,1922,1,5,6,11436442
Greenfield,4124 Stanley St,Pittsburgh,PA,15207,40.423811,-79.944159,SingleFamily,2444,1452,1380,0.95,1922,2,4,7,11540170
Carrick,152 Hornaday Rd,Pittsburgh,PA,15210,40.394766,-79.983036,SingleFamily,4800,2069,885,0.43,1922,1,3,7,11557361
Mount Washington,244 Albert St,Pittsburgh,PA,15211,40.422617,-80.00802,SingleFamily,3120,924,1025,1.11,1923,1,2,6,11323354
Perry South,619 Danbury St,Pittsburgh,PA,15214,40.468932,-80.017998,SingleFamily,3771,1613,938,0.58,1924,1,3,6,11498825
Carrick,233 Meredith St,Pittsburgh,PA,15210,40.398104,-79.984087,SingleFamily,4335,1944,906,0.47,1924,2,3,6,11556982
Brookline,851 Fordham Ave,Pittsburgh,PA,15226,40.390969,-80.022174,SingleFamily,3600,1303,976,0.75,1924,1,3,6,11653446
Highland Park,6417 Stanton Ave,Pittsburgh,PA,15206,40.469534,-79.912671,SingleFamily,2805,1080,1186,1.1,1925,1,3,5,11284239
Point Breeze,7044 Edgerton Ave,Pittsburgh,PA,15208,40.446212,-79.906807,SingleFamily,5250,1312,1830,1.39,1925,1,3,7,11288145
Carrick,304 Sunnyland Ave,Pittsburgh,PA,15227,40.382951,-79.984862,SingleFamily,7320,2156,896,0.42,1925,1,3,11,11305812
Mount Washington,73 Pasadena St,Pittsburgh,PA,15211,40.423081,-80.001482,SingleFamily,2500,1575,1259,0.8,1925,1,4,6,11323570
Mount Washington,147 Labelle St,Pittsburgh,PA,15211,40.434903,-80.015633,SingleFamily,2880,1020,1167,1.14,1925,1,3,6,11363453
Upper Hill,4271 Bryn Mawr Rd,Pittsburgh,PA,15219,40.450913,-79.957054,SingleFamily,4417,2296,1471,0.64,1925,2,3,8,11407301
North Oakland,4245 Parkman Ave,Pittsburgh,PA,15213,40.448348,-79.957284,SingleFamily,6711,2888,3327,1.15,1925,3,5,7,11407517
Beechview,1635 Methyl St,Pittsburgh,PA,15216,40.408971,-80.025292,SingleFamily,2500,1320,970,0.73,1925,1,3,6,11445701
Crafton Heights,2874 Sanborn St,Pittsburgh,PA,15204,40.451345,-80.057046,SingleFamily,3000,1144,929,0.81,1925,1,3,6,11479164
Garfield,5341 Waterford St,Pittsburgh,PA,15224,40.465478,-79.936843,SingleFamily,2921,1600,1221,0.76,1925,2,4,6,11520558
Shadyside,580 Moorhead Pl,Pittsburgh,PA,15232,40.452507,-79.939056,SingleFamily,4360,2637,3282,1.24,1925,4,4,9,11528551
Brookline,2303 Beaufort Ave,Pittsburgh,PA,15226,40.399818,-80.018485,SingleFamily,4200,1626,1455,0.89,1925,3,3,6,11565893
Brighton Heights,1734 Verner Ave,Pittsburgh,PA,15212,40.481564,-80.043324,SingleFamily,9600,1574,978,0.62,1925,2,3,6,11603511
Perry North,3008 Marshall Rd,Pittsburgh,PA,15214,40.476236,-80.015245,SingleFamily,4919,1776,1134,0.64,1925,1,3,6,11609812
Morningside,1413 Morningside Ave,Pittsburgh,PA,15206,40.481762,-79.930285,SingleFamily,3300,1600,1502,0.94,1925,2,4,7,11619447
Squirrel Hill North,5551 Aylesboro Ave,Pittsburgh,PA,15217,40.439633,-79.928986,SingleFamily,12729,5925,3786,0.64,1925,4.5,6,9,11630958
Squirrel Hill South,6351 Morrowfield Ave,Pittsburgh,PA,15217,40.427377,-79.920715,SingleFamily,7500,1976,2205,1.12,1925,4,4,8,11635916
Squirrel Hill South,4024 Ludwick St,Pittsburgh,PA,15217,40.424622,-79.925217,SingleFamily,4170,1488,1901,1.28,1925,2,4,7,11636406
Brookline,1126 Milan Ave,Pittsburgh,PA,15226,40.393619,-80.013477,SingleFamily,3600,864,862,1,1925,1,2,6,11648906
Brookline,1227 Brookline Blvd,Pittsburgh,PA,15226,40.392473,-80.011648,SingleFamily,3150,1860,1070,0.58,1925,2,3,7,11649076
Mount Washington,416 Iberia St,Pittsburgh,PA,15211,40.424223,-80.000206,SingleFamily,2613,1202,1260,1.05,1926,1,3,6,11517027
Overbrook,2147 Fairland St,Pittsburgh,PA,15210,40.389872,-79.994414,SingleFamily,3750,1144,1059,0.93,1926,2,3,6,11647431
